epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,442.666,0.94877,0.48524,0.93335,0.93915,0.9405,0.95031,0.66202,1.07531,0.55481,1.15401,0.00048275,0.00048275,0.00048275
64,450.041,0.95654,0.48344,0.92524,0.89555,0.9171,0.91089,0.66102,1.07206,0.53402,1.15706,0.000470375,0.000470375,0.000470375
65,456.958,0.94132,0.47941,0.92534,0.92031,0.92934,0.93862,0.67028,1.05339,0.51424,1.13956,0.000458,0.000458,0.000458
66,463.807,0.93948,0.47051,0.91877,0.90534,0.91826,0.9298,0.68076,1.06315,0.51478,1.15193,0.000445625,0.000445625,0.000445625
67,470.637,0.91302,0.46556,0.91888,0.90726,0.92592,0.91975,0.66741,1.08444,0.52555,1.17783,0.00043325,0.00043325,0.00043325
68,477.452,0.91783,0.47184,0.92289,0.92012,0.91283,0.93967,0.67001,1.06603,0.51271,1.16476,0.000420875,0.000420875,0.000420875
69,484.937,0.93292,0.47048,0.9147,0.93928,0.89861,0.94533,0.6597,1.07144,0.52119,1.16814,0.0004085,0.0004085,0.0004085
70,491.885,0.90303,0.46447,0.91524,0.93949,0.91963,0.95058,0.683,1.02325,0.52531,1.12066,0.000396125,0.000396125,0.000396125
71,498.872,0.9098,0.45925,0.91833,0.90511,0.91161,0.92146,0.66003,1.07604,0.5343,1.1702,0.00038375,0.00038375,0.00038375
72,505.789,0.89358,0.44889,0.91591,0.91273,0.91502,0.93008,0.66855,1.0572,0.51558,1.1459,0.000371375,0.000371375,0.000371375
73,512.644,0.90653,0.46391,0.9203,0.94887,0.90829,0.93758,0.66308,1.06472,0.51594,1.16852,0.000359,0.000359,0.000359
74,520.028,0.90651,0.44934,0.91891,0.94239,0.92925,0.96,0.67574,1.09935,0.4978,1.18076,0.000346625,0.000346625,0.000346625
75,526.846,0.93581,0.46236,0.92162,0.91445,0.9033,0.91875,0.6739,1.05844,0.49004,1.15544,0.00033425,0.00033425,0.00033425
76,533.713,0.89919,0.44914,0.90671,0.91614,0.90834,0.91633,0.67881,1.03652,0.50974,1.13632,0.000321875,0.000321875,0.000321875
77,540.749,0.90819,0.45429,0.91531,0.91732,0.90935,0.91901,0.66899,1.06888,0.50645,1.18289,0.0003095,0.0003095,0.0003095
78,547.556,0.89371,0.4453,0.91245,0.91394,0.92167,0.92123,0.66718,1.0814,0.48963,1.17682,0.000297125,0.000297125,0.000297125
79,554.973,0.89033,0.44559,0.91117,0.93342,0.92412,0.92709,0.67654,1.04262,0.49217,1.14905,0.00028475,0.00028475,0.00028475
80,561.702,0.88035,0.44319,0.91093,0.93652,0.92443,0.94177,0.68113,1.04626,0.48874,1.14403,0.000272375,0.000272375,0.000272375
81,568.616,0.887,0.44426,0.90934,0.9499,0.91544,0.94217,0.6749,1.05541,0.48655,1.16249,0.00026,0.00026,0.00026
82,575.557,0.88865,0.45028,0.90964,0.92405,0.90885,0.91876,0.67281,1.05006,0.51074,1.16021,0.000247625,0.000247625,0.000247625
83,582.482,0.8868,0.44717,0.90638,0.92227,0.92427,0.91834,0.66535,1.07428,0.50101,1.17644,0.00023525,0.00023525,0.00023525
84,589.807,0.88266,0.44043,0.90707,0.93638,0.92795,0.92715,0.66747,1.04724,0.5075,1.16267,0.000222875,0.000222875,0.000222875
85,596.681,0.88425,0.43925,0.90656,0.92953,0.92628,0.92516,0.67117,1.04252,0.51363,1.14666,0.0002105,0.0002105,0.0002105
86,603.501,0.88513,0.43714,0.90489,0.91648,0.91716,0.91543,0.66693,1.0624,0.49043,1.16733,0.000198125,0.000198125,0.000198125
87,610.347,0.88435,0.43865,0.90639,0.91966,0.92069,0.92518,0.66861,1.04835,0.49559,1.15193,0.00018575,0.00018575,0.00018575
88,617.34,0.86039,0.42944,0.90229,0.91438,0.93318,0.92209,0.67485,1.03961,0.49296,1.14014,0.000173375,0.000173375,0.000173375
89,624.242,0.85212,0.43001,0.90163,0.93274,0.91159,0.91569,0.67077,1.03876,0.49607,1.14557,0.000161,0.000161,0.000161
90,631.218,0.86307,0.42915,0.90284,0.92981,0.91225,0.91071,0.66034,1.05402,0.4885,1.18952,0.000148625,0.000148625,0.000148625
